Pick,Player,Team,Pos.,Salary,Team
59,Dak Prescott ,Dal , QB,$7 ,San gronkowski 69ers
87,Zack Moss ,Cin , RB,$7 ,Trundle the Great
109,Caleb Williams ,Chi , QB,$7 ,Bill Cosby Sleepers
167,Anthony Richardson Sr. ,Ind , QB,$7 ,Garbage Time All-...
51,Jonathon Brooks ,Car , RB,$6 ,Godwin's Plan �...
70,DeAndre Hopkins ,Bal , WR,$6 ,San gronkowski 69ers
86,Chase Brown ,Cin , RB,$6 ,Bill Cosby Sleepers
89,Chuba Hubbard ,Car , RB,$6 ,They took our Dou...
90,Brian Thomas Jr. ,Jax , WR,$6 ,Garbage Time All-...
146,Rashee Rice ,KC , WR,$6 ,The Randy Savages
151,Sam LaPorta ,Det , TE,$6 ,The White Walkers
153,Kyren Williams ,LAR , RB,$6 ,San gronkowski 69ers
154,Puka Nacua ,LAR , WR ,$6 ,San gronkowski 69ers
159,Tank Dell ,Hou , WR,$6 ,Password is Taco
160,C.J. Stroud ,Hou , QB,$6 ,Password is Taco
161,Trey McBride ,Ari , TE ,$6 ,Suck my Dak
55,Kyler Murray ,Min , QB,$5 ,The White Walkers
74,Ladd McConkey ,LAC , WR ,$5 ,The Randy Savages
76,Devin Singletary ,NYG , RB,$5 ,Garbage Time All-...
78,Keon Coleman ,Buf , WR,$5 ,The Randy Savages
79,Jayden Daniels ,Was , QB ,$5 ,The White Walkers
83,Tyjae Spears ,Ten , RB,$5 ,Godwin's Plan �...
84,Ezekiel Elliott ,Dal , RB,$5 ,Password is Taco
85,Jameson Williams ,Det , WR,$5 ,Password is Taco
98,Hollywood Brown ,Phi , WR,$5 ,Bill Cosby Sleepers
112,Curtis Samuel ,Buf , WR,$5 ,Ridley Me This
67,Jordan Love ,GB , QB,$4 ,Trundle the Great
80,Christian Watson ,GB , WR,$4 ,Bill Cosby Sleepers
82,Jaxon Smith-Njigba ,Sea , WR,$4 ,Trundle the Great
93,Khalil Shakir ,Buf , WR,$4 ,Garbage Time All-...
94,Rico Dowdle ,Pit , RB,$4 ,The White Walkers
100,Trey Benson ,Ari , RB,$4 ,Godwin's Plan �...
108,Tyler Allgeier ,Ari , RB,$4 ,Ridley Me This
114,Taysom Hill ,NO , TE,$4 ,Ridley Me This
32,Brock Bowers ,LV , TE ,$3 ,The Randy Savages
44,Dallas Goedert ,Phi , TE,$3 ,Garbage Time All-...
97,Romeo Doubs ,NE , WR,$3 ,They took our Dou...
104,Tyler Lockett ,LV , WR,$3 ,Garbage Time All-...
111,Jaleel McLaughlin ,Den , RB,$3 ,Suck my Dak
115,T.J. Hockenson ,Min , TE,$3 ,San gronkowski 69ers
120,Jake Ferguson ,Dal , TE,$3 ,The White Walkers
127,J.K. Dobbins ,Den , RB ,$3 ,Bill Cosby Sleepers
53,49ers ,SF , DEF,$2 ,Garbage Time All-...
65,Jets ,NYJ , DEF,$2 ,Bill Cosby Sleepers
66,Evan Engram ,Den , TE,$2 ,Godwin's Plan �...
95,Dalton Schultz ,Hou , TE,$2 ,They took our Dou...
96,Jared Goff ,Det , QB,$2 ,Godwin's Plan �...
99,Ravens ,Bal , DEF,$2 ,Ridley Me This
105,Keaton Mitchell ,LAC , RB,$2 ,Ridley Me This
113,Dontayvion Wicks ,Phi , WR,$2 ,Trundle the Great
118,Jakobi Meyers ,Jax , WR,$2 ,They took our Dou...
119,Mike Williams ,Pit , WR,$2 ,The White Walkers
122,Brandin Cooks ,NO , WR,$2 ,Bill Cosby Sleepers
123,Zach Charbonnet ,Sea , RB,$2 ,Suck my Dak
126,Jerry Jeudy ,Cle , WR,$2 ,They took our Dou...
128,Cole Kmet ,Chi , TE,$2 ,San gronkowski 69ers
3,Bills ,Buf , DEF,$1 ,Password is Taco
77,Cowboys ,Dal , DEF,$1 ,Suck my Dak
91,Brock Purdy ,SF , QB ,$1 ,Phillip OchoOcho
101,Steelers ,Pit , DEF,$1 ,The White Walkers
102,Josh Downs ,Ind , WR,$1 ,Phillip OchoOcho
103,David Njoku ,LAC , TE,$1 ,Ridley Me This
106,Tua Tagovailoa ,Atl , QB,$1 ,San gronkowski 69ers
107,Browns ,Cle , DEF,$1 ,Trundle the Great
110,Chiefs ,KC , DEF,$1 ,The Randy Savages
116,Kirk Cousins ,LV , QB,$1 ,San gronkowski 69ers
117,Trevor Lawrence ,Jax , QB,$1 ,Trundle the Great
121,Rashid Shaheed ,Sea , WR,$1 ,Phillip OchoOcho
124,Matthew Stafford ,LAR , QB,$1 ,San gronkowski 69ers
125,Luke Musgrave ,GB , TE,$1 ,Trundle the Great
129,Bucky Irving ,TB , RB,$1 ,Phillip OchoOcho
130,Ricky Pearsall ,SF , WR,$1 ,Ridley Me This
131,Jaylen Wright ,Mia , RB,$1 ,Godwin's Plan �...
132,Adam Thielen ,Pit , WR,$1 ,San gronkowski 69ers
133,Ray Davis ,Buf , RB,$1 ,They took our Dou...
134,Gabe Davis ,Buf , WR,$1 ,Suck my Dak
135,Michael Wilson ,Ari , WR,$1 ,Phillip OchoOcho
136,Adonai Mitchell ,NYJ , WR,$1 ,Godwin's Plan �...
137,Justice Hill ,Bal , RB,$1 ,San gronkowski 69ers
138,Khalil Herbert ,SF , RB,$1 ,Phillip OchoOcho
139,Dalvin Cook ,Dal , RB,$1 ,Godwin's Plan �...
140,Aaron Rodgers ,Pit , QB,$1 ,Phillip OchoOcho
141,Justin Herbert ,LAC , QB,$1 ,Godwin's Plan �...
142,Bengals ,Cin , DEF,$1 ,Phillip OchoOcho
143,Jordan Mason ,Min , RB,$1 ,Godwin's Plan �...
144,Isaiah Likely ,NYG , TE,$1 ,Phillip OchoOcho
