Pick,Player,Team,Pos.,Salary,Team
142,Isaac Guerendo ,SF , RB,$1 ,Password is Taco
143,Kareem Hunt ,KC , RB,$1 ,Password is Taco
144,Amari Cooper ,Buf , WR,$1 ,Password is Taco
145,Garrett Wilson ,NYJ , WR ,$16 ,Trundle The Great
146,Jonathan Taylor ,Ind , RB ,$29 ,Trundle The Great
147,J.K. Dobbins ,Den , RB ,$8 ,Bill Cosby Sleepers
148,Jerry Jeudy ,Cle , WR ,$7 ,Bill Cosby Sleepers
149,Brock Purdy ,SF , QB ,$6 ,Phillip OchoOcho
150,Jaxon Smith-Njigba ,Sea , WR ,$9 ,Phillip OchoOcho
151,Bucky Irving ,TB , RB ,$6 ,Password is Taco
152,Brian Thomas Jr. ,Jax , WR ,$11 ,Password is Taco
153,Saquon Barkley ,Phi , RB ,$61 ,San gronkowski 69ers
154,Puka Nacua ,LAR , WR ,$11 ,San gronkowski 69ers
155,Trey McBride ,Ari , TE ,$11 ,Bobby Bad Beats
156,Drake London ,Atl , WR ,$24 ,Bobby Bad Beats
157,Dalton Schultz ,Hou , TE ,$7 ,Garbage Time All-...
158,Zach Charbonnet ,Sea , RB ,$7 ,Garbage Time All-...
159,Brock Bowers ,LV , TE ,$8 ,The Randy Savages
160,Ladd McConkey ,LAC , WR ,$10 ,The Randy Savages
161,Ja'Marr Chase ,Cin , WR ,$31 ,The White Walkers
162,Jayden Daniels ,Was , QB ,$10 ,The White Walkers
163,Chase Brown ,Cin , RB ,$11 ,Godwin's Plan
164,Justin Jefferson ,Min , WR ,$28 ,Godwin's Plan
165,De'Von Achane ,Mia , RB ,$21 ,Ridley Me This
166,Breece Hall ,NYJ , RB ,$24 ,Ridley Me This
167,James Cook III ,Buf , RB ,$20 ,Green Rahe Packers
168,Malik Nabers ,NYG , WR ,$27 ,Green Rahe Packers
