Team,Player,Pos.,Age,HT,WT,Exp,College
CAR,Ja'Tavion Sanders,TE,23.0,"6' 4""",252 lbs,3,
CAR,James Mitchell,TE,27.0,"6' 4""",249 lbs,4,
CAR,Mitchell Evans,TE,23.0,"6' 5""",258 lbs,2,
CAR,Tommy Tremble,TE,26.0,"6' 4""",250 lbs,6,
CAR,Brycen Tremayne,WR,26.0,"6' 4""",212 lbs,2,
CAR,Casey Washington,WR,25.0,"6' 0""",200 lbs,3,
CAR,Chris Brazzell II,WR,22.0,"6' 4""",198 lbs,0,
CAR,Dan Chisena,WR,29.0,"6' 3""",202 lbs,5,
CAR,David Moore,WR,31.0,"6' 0""",220 lbs,8,
CAR,Elijah Cooks,WR,27.0,"6' 4""",215 lbs,2,
CAR,Ja'seem Reed,WR,23.0,"6' 2""",195 lbs,1,
CAR,Jalen Coker,WR,24.0,"6' 3""",213 lbs,3,
CAR,Jimmy Horn Jr.,WR,23.0,"5' 8""",174 lbs,2,
CAR,John Metchie III,WR,26.0,"5' 11""",187 lbs,4,
CAR,Roc Taylor,WR,24.0,"6' 1""",213 lbs,1,
CAR,Tetairoa McMillan,WR,23.0,"6' 5""",212 lbs,2,
CAR,Xavier Legette,WR,25.0,"6' 3""",227 lbs,3,
CHI,Caleb Williams,QB,24.0,"6' 1""",226 lbs,3,
CHI,Case Keenum,QB,38.0,"6' 1""",220 lbs,14,
CHI,Miller Moss,QB,24.0,"6' 1""",211 lbs,0,
CHI,Tyson Bagent,QB,26.0,"6' 3""",212 lbs,4,
CHI,Brittain Brown,RB,28.0,"6' 1""",205 lbs,3,
CHI,D'Andre Swift,RB,27.0,"5' 8""",204 lbs,7,
CHI,Kyle Monangai,RB,24.0,"5' 8""",207 lbs,2,
CHI,Roschon Johnson,RB,25.0,"6' 0""",227 lbs,4,
CHI,Salvon Ahmed,RB,27.0,"5' 11""",196 lbs,5,
CHI,Cole Kmet,TE,27.0,"6' 6""",257 lbs,7,
CHI,Colston Loveland,TE,22.0,"6' 6""",241 lbs,2,
CHI,Hayden Large,TE,24.0,"6' 4""",250 lbs,0,
CHI,Nikola Kalinic,TE,29.0,"6' 4""",248 lbs,2,
CHI,Qadir Ismail,TE,26.0,"6' 6""",245 lbs,1,
CHI,Sam Roush,TE,22.0,"6' 5""",267 lbs,0,
CHI,Stephen Carlson,TE,29.0,"6' 4""",248 lbs,4,
CHI,JP Richardson,WR,24.0,"5' 11""",192 lbs,1,
CHI,Jahdae Walker,WR,24.0,"6' 3""",206 lbs,2,
CHI,Kaden Davis,WR,27.0,"6' 1""",193 lbs,1,
CHI,Kalif Raymond,WR,32.0,"5' 9""",160 lbs,10,
CHI,Luther Burden III,WR,22.0,"6' 0""",210 lbs,2,
CHI,Maurice Alexander,WR,29.0,"5' 10""",173 lbs,1,
CHI,Omari Kelly,WR,22.0,"5' 11""",190 lbs,0,
CHI,Ray-Ray McCloud III,WR,29.0,"5' 9""",190 lbs,8,
CHI,Rome Odunze,WR,24.0,"6' 3""",214 lbs,3,
CHI,Scotty Miller,WR,29.0,"5' 9""",174 lbs,8,
CHI,Zavion Thomas,WR,22.0,"5' 10""",190 lbs,0,
CIN,Joe Burrow,QB,29.0,"6' 4""",215 lbs,7,
CIN,Joe Flacco,QB,41.0,"6' 6""",245 lbs,19,
CIN,Josh Johnson,QB,40.0,"6' 3""",219 lbs,12,
CIN,Sean Clifford,QB,28.0,"6' 2""",212 lbs,2,
CIN,Chase Brown,RB,26.0,"5' 10""",210 lbs,4,
CIN,Gary Brightwell,RB,28.0,"6' 1""",218 lbs,4,
CIN,Jamal Haynes,RB,23.0,"5' 7""",195 lbs,0,
CIN,Kendall Milton,RB,24.0,"6' 1""",230 lbs,1,
CIN,Kentrel Bullock,RB,24.0,"5' 10""",204 lbs,0,
CIN,Samaje Perine,RB,30.0,"5' 11""",240 lbs,10,
CIN,Tahj Brooks,RB,24.0,"5' 9""",220 lbs,2,
CIN,Cam Grandy,TE,26.0,"6' 5""",253 lbs,3,
CIN,Drew Sample,TE,30.0,"6' 5""",260 lbs,8,
CIN,Erick All Jr.,TE,25.0,"6' 5""",255 lbs,3,
CIN,Jack Endries,TE,22.0,"6' 5""",245 lbs,0,
CIN,Josh Kattus,TE,22.0,"6' 4""",245 lbs,0,
CIN,Mike Gesicki,TE,30.0,"6' 6""",245 lbs,9,
CIN,Tanner Hudson,TE,31.0,"6' 5""",241 lbs,7,
CIN,Andrei Iosivas,WR,26.0,"6' 3""",210 lbs,4,
CIN,Charlie Jones,WR,27.0,"6' 0""",190 lbs,4,
CIN,Colbie Young,WR,24.0,"6' 3""",218 lbs,0,
CIN,Dohnte Meyers,WR,26.0,"5' 11""",186 lbs,1,
CIN,Ja'Marr Chase,WR,26.0,"6' 0""",205 lbs,6,
CIN,Jordan Moore,WR,24.0,"6' 0""",191 lbs,1,
CIN,Ke'Shawn Williams,WR,24.0,"5' 9""",189 lbs,2,
CIN,Kendric Pryor,WR,28.0,"5' 11""",189 lbs,2,
CIN,Mitchell Tinsley,WR,26.0,"6' 1""",205 lbs,3,
CIN,Noah Thomas,WR,22.0,"6' 5""",203 lbs,0,
CIN,Tee Higgins,WR,27.0,"6' 4""",220 lbs,7,
CIN,Xavier Johnson,WR,27.0,"6' 1""",210 lbs,1,
CLE,Deshaun Watson,QB,30.0,"6' 3""",223 lbs,10,
CLE,Dillon Gabriel,QB,25.0,"5' 11""",205 lbs,2,
CLE,Shedeur Sanders,QB,24.0,"6' 2""",212 lbs,2,
CLE,Taylen Green,QB,23.0,"6' 6""",230 lbs,0,
CLE,Ahmani Marshall,RB,24.0,"6' 1""",225 lbs,1,
CLE,Davon Booth,RB,24.0,"5' 10""",192 lbs,0,
CLE,Dylan Sampson,RB,21.0,"5' 8""",200 lbs,2,
CLE,Quinshon Judkins,RB,22.0,"6' 0""",221 lbs,2,
CLE,Raheim Sanders,RB,24.0,"6' 0""",230 lbs,2,
CLE,Blake Whiteheart,TE,26.0,"6' 4""",250 lbs,4,
CLE,Brenden Bates,TE,26.0,"6' 5""",255 lbs,3,
CLE,Carsen Ryan,TE,23.0,"6' 3""",255 lbs,0,
CLE,Drew Biber,TE,,"6' 3""",247 lbs,0,
CLE,Harold Fannin Jr.,TE,22.0,"6' 4""",241 lbs,2,
CLE,Jack Stoll,TE,28.0,"6' 4""",245 lbs,6,
CLE,Jermaine Terry II,TE,23.0,"6' 4""",245 lbs,1,
CLE,Joe Royer,TE,24.0,"6' 5""",250 lbs,0,
CLE,Ben Patterson,WR,23.0,"6' 5""",220 lbs,0,
CLE,Cedric Tillman,WR,26.0,"6' 3""",215 lbs,4,
CLE,Denzel Boston,WR,22.0,"6' 4""",215 lbs,0,
CLE,Gage Larvadain,WR,23.0,"5' 8""",171 lbs,2,
CLE,Isaiah Bond,WR,22.0,"5' 11""",180 lbs,2,
CLE,Jamari Thrash,WR,25.0,"6' 0""",190 lbs,3,
CLE,Jerry Jeudy,WR,27.0,"6' 1""",195 lbs,7,
CLE,KC Concepcion,WR,21.0,"6' 0""",190 lbs,0,
CLE,Kole Wilson,WR,22.0,"5' 9""",177 lbs,0,
CLE,Luke Floriea,WR,24.0,"5' 8""",180 lbs,1,
CLE,Malachi Corley,WR,24.0,"5' 11""",215 lbs,3,
CLE,Tylan Wallace,WR,27.0,"5' 11""",200 lbs,6,
