"Rk,Player,OffSnp,Att,Att,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999"
"129,Dyami Brown,38,0,0,4,Mon,5,5,2025-10-06,25-339,JAX,,KAN,W 31-28,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,2,15,7.5,0,50.0,3.8,1,25.0,38,65.5,0,0.0,0,0.0,WR,BrowDy00"
"130,Luke Farrell,38,0,0,2,Thu,5,5,2025-10-02,27-353,SFO,@,LAR,W 26-23 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,1,8,8.0,0,50.0,4.0,0,50.0,38,44.2,0,0.0,12,41.4,TE,FarrLu00"
"131,Dawson Knox,38,0,0,2,Sun,5,5,2025-10-05,28-325,BUF,,NWE,L 20-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,15,7.5,0,100.0,7.5,1,100.0,38,55.9,0,0.0,0,0.0,TE,KnoxDa00"
"132,Ian Thomas,38,0,0,3,Sun,5,5,2025-10-05,29-121,LVR,@,IND,L 6-40,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,3,20,6.7,0,100.0,6.7,1,100.0,38,55.9,0,0.0,2,10.5,TE,ThomIa00"
"133,Kayshon Boutte,37,0,0,3,Sun,5,5,2025-10-05,23-151,NWE,@,BUF,W 23-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,3,43,14.3,0,100.0,14.3,3,100.0,37,61.7,0,0.0,0,0.0,WR,BoutKa00"
"134,Ashton Jeanty,37,0,14,7,Sun,5,5,2025-10-05,21-307,LVR,@,IND,L 6-40,0,0,0,,0,0,0,0,,,,0,0,,,,,,,14,67,4.8,0,3,64.3,7,5,42,8.4,0,71.4,6.0,1,28.6,37,54.4,0,0.0,0,0.0,RB,JeanAs00"
"135,Alvin Kamara,37,0,8,6,Sun,5,5,2025-10-05,30-072,NOR,,NYG,W 26-14,0,0,0,,0,0,0,0,,,,0,0,,,,,,,8,27,3.4,0,0,37.5,6,4,28,7.0,0,66.7,4.7,2,33.3,37,56.1,0,0.0,0,0.0,RB,KamaAl00"
"136,Dalton Kincaid,37,0,0,6,Sun,5,5,2025-10-05,25-352,BUF,,NWE,L 20-23,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,6,6,108,18.0,0,100.0,18.0,5,100.0,37,54.4,0,0.0,0,0.0,TE,KincDa00"
"137,Jack Bech,36,0,0,5,Sun,5,5,2025-10-05,22-291,LVR,@,IND,L 6-40,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,5,3,27,9.0,0,60.0,5.4,3,60.0,36,52.9,0,0.0,10,52.6,WR,BechJa00"
"138,Zay Flowers,36,0,0,5,Sun,5,5,2025-10-05,25-024,BAL,,HOU,L 10-44,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,5,5,72,14.4,0,100.0,14.4,1,60.0,36,83.7,0,0.0,0,0.0,WR,FlowZa00"
