Rank,Player,Team,Pos.,Age,PPR,STD,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
104,Dalton Kincaid,BUF,TE,0,283.6,199.60000000000002,0,0.0,0.0,84,1576,7.0,0,0,0.0
105,Dalton Schultz,HOU,TE,0,234.2,122.19999999999999,0,0.0,0.0,112,1222,0.0,0,0,0.0
106,Daniel Bellinger,TEN,TE,0,5.0,5.0,0,0.0,0.0,0,50,0.0,0,0,0.0
107,Daniel Jones,IND,QB,0,171.0,171.04,2631,14.0,14.0,0,0,0.0,28,98,0.0
108,Dareke Young,LVR,WR,0,24.6,18.600000000000005,0,0.0,0.0,6,186,0.0,0,0,0.0
109,Darius Cooper,PHI,WR,0,74.2,60.19999999999998,0,0.0,0.0,14,182,7.0,0,0,0.0
110,Darnell Mooney,NYG,WR,0,80.5,52.50000000000001,0,0.0,0.0,28,525,0.0,0,0,0.0
111,Darnell Washington,PIT,TE,0,45.5,17.5,0,0.0,0.0,28,175,0.0,0,0,0.0
112,Darren Waller,CAR,TE,0,161.6,126.6,0,0.0,0.0,35,426,14.0,0,0,0.0
113,Davante Adams,LAR,WR,0,320.0,238.99999999999997,0,0.0,0.0,81,1556,13.9,0,0,0.0
114,David Martin-Robinson,TEN,TE,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
115,David Montgomery,HOU,RB,0,233.0,197.99999999999997,0,0.0,0.0,35,231,7.0,182,489,14.0
116,David Njoku,LAC,TE,0,89.0,46.999999999999986,0,0.0,0.0,42,470,0.0,0,0,0.0
117,Davis Allen,LAR,TE,0,28.0,14.0,0,0.0,0.0,14,140,0.0,0,0,0.0
118,Dawson Knox,BUF,TE,0,72.4,50.40000000000001,0,0.0,0.0,22,84,7.0,0,0,0.0
119,De'Von Achane,MIA,RB,0,160.4,111.4,0,0.0,0.0,49,343,0.0,217,771,0.0
120,De'Zhaun Stribling,SFO,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
121,DeMario Douglas,NWE,WR,0,62.0,20.0,0,0.0,0.0,42,200,0.0,0,0,0.0
122,DeVonta Smith,PHI,WR,0,252.7,160.70000000000002,0,0.0,0.0,92,1187,7.0,0,0,0.0
123,DeeJay Dallas,MIN,RB,0,28.6,14.599999999999998,0,0.0,0.0,14,90,0.0,14,56,0.0
124,Deebo Samuel,SFO,WR,0,171.6,108.60000000000001,0,0.0,0.0,63,554,7.0,14,112,0.0
125,Deion Burks,IND,WR,0,9.8,9.799999999999999,0,0.0,0.0,0,0,0.0,14,98,0.0
126,Demarcus Robinson,SFO,WR,0,128.8,100.80000000000003,0,0.0,0.0,28,588,7.0,0,0,0.0
127,Demond Claiborne,MIN,RB,0,16.8,2.8000000000000003,0,0.0,0.0,14,28,0.0,0,0,0.0
128,Denzel Boston,CLE,WR,0,237.9,191.89999999999995,0,0.0,0.0,46,1079,14.0,0,0,0.0
129,Derius Davis,LAC,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
130,Derrick Henry,BAL,RB,0,371.1,343.1,0,0.0,0.0,28,266,0.0,280,1485,28.0
131,Deshaun Watson,CLE,QB,0,249.9,250.04,3101,21.0,7.0,0,0,0.0,95,420,0.0
132,Devaughn Vele,NOR,WR,0,219.0,134.99999999999997,0,0.0,0.0,84,930,7.0,0,0,0.0
133,Devin Duvernay,ARI,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
134,Devin Singletary,NYG,RB,0,102.9,74.89999999999999,0,0.0,0.0,28,154,7.0,59,175,0.0
135,Devontez Walker,BAL,WR,0,79.8,65.80000000000001,0,0.0,0.0,14,658,0.0,0,0,0.0
136,Dillon Bell,MIN,WR,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
137,Dohnte Meyers,CIN,WR,0,19.6,19.599999999999998,0,0.0,0.0,0,126,0.0,8,70,0.0
138,Dontayvion Wicks,PHI,WR,0,193.0,145.00000000000003,0,0.0,0.0,48,1030,7.0,0,0,0.0
139,Drake London,ATL,WR,0,100.8,58.80000000000002,0,0.0,0.0,42,560,0.0,14,28,0.0
140,Drake Maye,NWE,QB,0,180.6,180.87999999999994,2702,7.0,28.0,0,0,0.0,75,448,0.0
