Rk,Name,Age,Tm,OppQual,GS,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
72,Sam Bachman,26,LAA,8,0,0,0,,1.08,6,0,0,0,0,0,8.1,7,1,1,0,5,0,15,1,0,0,37,1.44,7.6,0,5.4,16.2,3,redirect.fcgi?player=1&mlb_ID=696147
73,Kyle Backhus*,28,PHI,7.8,0,1,0,1,1.29,7,0,0,0,0,0,7,6,1,1,0,1,0,6,0,0,1,27,1,7.7,0,1.3,7.7,6,redirect.fcgi?player=1&mlb_ID=679775
74,Henry Baez,23,ATH,5.3,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,18,,redirect.fcgi?player=1&mlb_ID=692013
75,Trent Baker,27,MIN,6.6,0,0,0,,5.4,6,0,3,0,0,0,5,4,3,3,0,2,0,2,0,0,0,21,1.2,7.2,0,3.6,3.6,1,redirect.fcgi?player=1&mlb_ID=694536
76,Bryan Baker,31,TB,6.9,0,0,0,,7.71,7,0,0,0,0,0,7,13,6,6,1,1,0,8,0,0,0,35,2,16.7,1.3,1.3,10.3,8,redirect.fcgi?player=1&mlb_ID=641329
77,Andrew Baker,26,PHI,6,0,0,0,,27,2,0,1,0,0,0,1.2,5,5,5,0,3,0,0,0,0,0,12,4.8,27,0,16.2,0,0,redirect.fcgi?player=1&mlb_ID=687900
78,Alec Baker,26,AZ,6.6,0,0,0,,0,3,0,1,0,0,0,2,2,0,0,0,0,0,1,1,0,0,9,1,9,0,0,4.5,,redirect.fcgi?player=1&mlb_ID=696508
79,Merrick Baldo,25,WSH,5.8,0,0,0,,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,redirect.fcgi?player=1&mlb_ID=813707
80,Anthony Banda*,32,MIN,7.2,0,1,0,1,4.91,8,0,1,0,0,0,7.1,3,4,4,1,6,0,9,1,0,1,32,1.227,3.7,1.2,7.4,11,1.5,redirect.fcgi?player=1&mlb_ID=607455
81,Tanner Banks*,34,PHI,7.4,1,0,0,,5.63,8,1,0,0,0,0,8,5,5,5,3,0,0,5,0,0,0,29,0.625,5.6,3.4,0,5.6,,redirect.fcgi?player=1&mlb_ID=621383
82,Brett Banks,24,NYM,5.7,0,0,0,,0,4,0,1,0,0,0,3,5,0,0,0,1,0,4,0,0,0,14,2,15,0,3,12,4,redirect.fcgi?player=1&mlb_ID=688781
83,Gabriel Barbosa,24,PHI,4.1,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,9,,redirect.fcgi?player=1&mlb_ID=682858
84,Hunter Barco*,25,PIT,7.5,2,1,0,1,2.31,5,2,0,0,0,0,11.2,6,4,3,0,8,0,15,1,0,0,49,1.2,4.6,0,6.2,11.6,1.88,redirect.fcgi?player=1&mlb_ID=682995
85,Scott Barlow,33,ATH,7.3,0,0,0,,6.35,6,0,0,0,0,0,5.2,7,4,4,0,4,0,8,1,0,0,29,1.941,11.1,0,6.4,12.7,2,redirect.fcgi?player=1&mlb_ID=605130
86,Charlie Barnes*,30,CHC,6.7,0,0,0,,0,2,0,2,0,0,0,2,1,0,0,0,0,0,3,0,0,0,8,0.5,4.5,0,0,13.5,,redirect.fcgi?player=1&mlb_ID=656212
87,Mason Barnett,25,ATH,8.1,3,1,1,0.5,4.91,3,3,0,0,0,0,7.1,8,4,4,2,5,0,6,0,0,1,32,1.773,9.8,2.5,6.1,7.4,1.2,redirect.fcgi?player=1&mlb_ID=686930
88,Zane Barnhart,24,BAL,5.5,0,0,0,,7.71,3,0,2,0,0,1,2.1,3,2,2,1,1,0,3,0,0,1,10,1.714,11.6,3.9,3.9,11.6,3,redirect.fcgi?player=1&mlb_ID=813829
89,Diego Barrera*,26,ATH,3.4,0,0,0,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,9,,redirect.fcgi?player=1&mlb_ID=685290
90,Andrew Bash,29,MIN,6.2,0,0,0,,6,2,0,1,0,0,0,3,4,3,2,1,1,0,2,0,0,0,14,1.667,12,3,3,6,2,redirect.fcgi?player=1&mlb_ID=687856
91,Chris Bassitt,37,BAL,7.5,3,1,0,1,2.2,5,3,1,0,0,1,16.1,9,5,4,1,8,0,10,1,0,0,68,1.041,5,0.6,4.4,5.5,1.25,redirect.fcgi?player=1&mlb_ID=605135
92,Brady Basso*,28,ATH,7.5,0,0,1,0,7.2,4,0,0,0,0,0,5,8,4,4,0,3,0,3,0,0,0,26,2.2,14.4,0,5.4,5.4,1,redirect.fcgi?player=1&mlb_ID=669620
93,Angel Bastardo,24,TOR,7.3,0,0,0,,4.7,7,0,0,0,0,0,7.2,5,4,4,0,7,0,5,0,0,4,33,1.565,5.9,0,8.2,5.9,0.71,redirect.fcgi?player=1&mlb_ID=682785
94,Boston Bateman*,20,BAL,7.4,0,0,0,,6,1,0,0,0,0,0,3,3,2,2,2,1,0,1,0,0,0,12,1.333,9,6,3,3,1,redirect.fcgi?player=1&mlb_ID=815348
95,Tyler Baum,28,WSH,6,0,0,0,,6,3,0,2,0,0,0,3,3,2,2,0,5,0,3,0,0,0,15,2.667,9,0,15,9,0.6,redirect.fcgi?player=1&mlb_ID=666121
96,Mike Baumann,30,NYM,8.2,0,0,0,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,4,1,9,0,0,9,,redirect.fcgi?player=1&mlb_ID=657508
97,Garrett Baumann,21,ATL,8.1,1,0,0,,4.5,2,1,0,0,0,0,4,3,2,2,0,0,0,5,1,0,0,16,0.75,6.8,0,0,11.3,,redirect.fcgi?player=1&mlb_ID=803833
98,Jackson Baumeister,23,TB,7.9,1,0,0,,2.08,1,1,0,0,0,0,4.1,2,1,1,1,0,0,1,0,0,0,15,0.462,4.2,2.1,0,2.1,,redirect.fcgi?player=1&mlb_ID=691765
99,Collin Baumgartner,27,COL,7.7,0,0,0,,0,1,0,0,0,0,0,0.1,0,0,0,0,1,0,0,0,0,0,2,3,0,0,27,0,0,redirect.fcgi?player=1&mlb_ID=694677
100,Carter Baumler,24,TEX,7.8,0,1,0,1,0,8,0,0,0,0,0,9.1,4,1,0,0,2,0,10,0,1,0,35,0.643,3.9,0,1.9,9.6,5,redirect.fcgi?player=1&mlb_ID=691945
101,Jarod Bayless,29,PIT,7.5,0,0,2,0,11.57,4,0,1,0,0,0,4.2,7,7,6,2,3,0,6,1,0,0,23,2.143,13.5,3.9,5.8,11.6,2,redirect.fcgi?player=1&mlb_ID=663681
102,Shane Baz,27,BAL,7.5,3,0,1,0,2.61,3,3,0,0,0,0,10.1,5,3,3,0,4,0,14,0,0,2,41,0.871,4.4,0,3.5,12.2,3.5,redirect.fcgi?player=1&mlb_ID=669358
103,Eduard Bazardo,30,SEA,8.3,0,0,0,,0,3,0,0,0,0,0,2.1,2,0,0,0,1,0,1,1,0,1,11,1.286,7.7,0,3.9,3.9,1,redirect.fcgi?player=1&mlb_ID=660825
104,Noah Beal,24,TB,6.6,0,0,0,,0,1,0,1,0,0,0,1.1,0,0,0,0,1,0,2,0,0,0,5,0.75,0,0,6.8,13.5,2,redirect.fcgi?player=1&mlb_ID=695063
105,Christian Becerra,23,MIN,6.6,0,0,0,,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,redirect.fcgi?player=1&mlb_ID=800875
106,Tristan Beck,30,SF,8.1,0,0,0,,3.68,6,0,0,0,0,0,7.1,8,3,3,1,3,0,4,1,0,0,32,1.5,9.8,1.2,3.7,4.9,1.33,redirect.fcgi?player=1&mlb_ID=663941
107,Brendan Beck,27,NYY,6.2,0,0,0,,9,1,0,1,0,0,0,3,4,3,3,1,1,0,1,1,0,0,15,1.667,12,3,3,3,1,redirect.fcgi?player=1&mlb_ID=694341
108,Brandon Beckel,24,PHI,7.3,0,1,0,1,0,3,0,1,0,0,0,1.2,1,0,0,0,0,0,1,0,0,1,6,0.6,5.4,0,0,5.4,,redirect.fcgi?player=1&mlb_ID=699552
109,Ian Bedell,26,STL,5.7,0,1,0,1,3.38,5,0,1,0,0,0,2.2,2,1,1,0,2,0,3,0,0,2,12,1.5,6.8,0,6.8,10.1,1.5,redirect.fcgi?player=1&mlb_ID=678016
110,Will Bednar,26,SF,5.5,0,1,0,1,2.25,4,0,2,0,0,0,4,2,2,1,0,4,0,3,1,0,0,19,1.5,4.5,0,9,6.8,0.75,redirect.fcgi?player=1&mlb_ID=687218
111,David Bednar,31,NYY,7.6,0,1,0,1,0,5,0,0,0,0,0,4.2,0,0,0,0,1,0,2,0,0,0,14,0.214,0,0,1.9,3.9,2,redirect.fcgi?player=1&mlb_ID=670280
112,Tyler Beede,33,CHC,6.8,0,0,0,,7.36,7,0,3,0,0,1,3.2,5,3,3,1,4,0,2,0,0,0,20,2.455,12.3,2.5,9.8,4.9,0.5,redirect.fcgi?player=1&mlb_ID=595881
113,Jalen Beeks*,32,TEX,8.4,0,0,0,,3.86,2,0,0,0,0,0,2.1,2,1,1,1,1,0,0,0,0,0,9,1.286,7.7,3.9,3.9,0,0,redirect.fcgi?player=1&mlb_ID=656222
114,Blake Beers,27,ATH,7.8,0,0,0,,27,1,0,0,0,0,0,0.1,1,1,1,0,1,0,0,0,0,0,3,6,27,0,27,0,0,redirect.fcgi?player=1&mlb_ID=676275
115,Clayton Beeter,27,WSH,6.7,0,1,0,1,0,8,0,1,0,0,0,7.1,4,3,0,0,3,0,13,0,0,1,29,0.955,4.9,0,3.7,16,4.33,redirect.fcgi?player=1&mlb_ID=690925
116,Charlie Beilenson,26,SEA,6.9,0,0,0,,6.75,3,0,2,0,0,1,2.2,5,3,2,1,0,0,1,0,0,0,12,1.875,16.9,3.4,0,3.4,,redirect.fcgi?player=1&mlb_ID=810897
117,Nigel Belgrave,24,MIA,5.2,0,0,2,0,3.6,5,0,3,0,0,0,5,3,3,2,0,4,0,5,3,0,1,24,1.4,5.4,0,7.2,9,1.25,redirect.fcgi?player=1&mlb_ID=811310
118,Luke Bell,25,CWS,6.8,0,0,0,,10.8,2,0,1,0,0,0,1.2,3,2,2,1,0,0,0,1,0,0,9,1.8,16.2,5.4,0,0,,redirect.fcgi?player=1&mlb_ID=687259
119,Brayan Bello,27,BOS,8.2,4,1,1,0.5,5.65,4,4,0,0,0,0,14.1,15,9,9,1,2,0,17,0,0,0,58,1.186,9.4,0.6,1.3,10.7,8.5,redirect.fcgi?player=1&mlb_ID=678394
120,Valente Bellozo,26,COL,7.9,1,1,0,1,6.32,5,1,0,0,0,0,15.2,14,12,11,3,4,0,9,1,0,0,65,1.149,8,1.7,2.3,5.2,2.25,redirect.fcgi?player=1&mlb_ID=678368
121,Anthony Bender,31,MIA,7.4,0,0,0,,2.25,4,0,0,0,0,0,4,4,1,1,0,0,0,6,0,0,0,15,1,9,0,0,13.5,,redirect.fcgi?player=1&mlb_ID=669622
122,Jake Bennett*,25,BOS,7.8,1,0,1,0,9,2,1,0,0,0,0,3,5,3,3,0,0,0,3,2,0,0,15,1.667,15,0,0,9,,redirect.fcgi?player=1&mlb_ID=687562
123,Sam Benschoter,28,CIN,6.1,0,0,0,,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,4.5,,redirect.fcgi?player=1&mlb_ID=680397
124,Ryan Bergert,26,KC,8.2,5,0,3,0,7.24,5,5,0,0,0,0,13.2,16,11,11,6,5,0,9,1,0,1,59,1.537,10.5,4,3.3,5.9,1.8,redirect.fcgi?player=1&mlb_ID=686701
