Rank,Player,Team,Pos.,PPR,Std,Age,PassAtt,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
232,Xavier Smith,LAR,WR,48.8,33.8,28.0,0.0,0.0,0.0,0.0,15.0,338.0,0.0,0.0,0.0,0.0
233,Jordan Whittington,LAR,WR,34.900000000000006,19.900000000000002,25.0,0.0,0.0,0.0,0.0,15.0,183.0,0.0,0.0,16.0,0.0
234,Konata Mumpfield,LAR,WR,37.9,22.9,23.0,0.0,0.0,0.0,0.0,15.0,109.0,2.0,0.0,0.0,0.0
235,Fernando Mendoza,LVR,QB,234.66000000000003,234.66000000000003,22.0,371.0,3034.0,24.0,9.0,0.0,0.0,0.0,40.0,173.0,3.0
236,Kirk Cousins,LVR,QB,14.7,14.7,38.0,28.0,210.0,2.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0
237,Ashton Jeanty,LVR,RB,257.3,220.3,22.0,0.0,0.0,0.0,0.0,37.0,428.0,8.0,256.0,935.0,6.0
238,Mike Washington Jr.,LVR,RB,151.7,127.7,23.0,0.0,0.0,0.0,0.0,24.0,157.0,1.0,144.0,640.0,7.0
239,Dare Ogunbowale,LVR,RB,42.0,30.0,32.0,0.0,0.0,0.0,0.0,12.0,72.0,0.0,16.0,48.0,3.0
240,Brock Bowers,LVR,TE,179.7,118.7,23.0,0.0,0.0,0.0,0.0,61.0,707.0,8.0,0.0,0.0,0.0
241,Michael Mayer,LVR,TE,76.2,39.2,25.0,0.0,0.0,0.0,0.0,37.0,332.0,1.0,0.0,0.0,0.0
242,Ian Thomas,LVR,TE,24.2,12.2,30.0,0.0,0.0,0.0,0.0,12.0,122.0,0.0,0.0,0.0,0.0
243,Tre Tucker,LVR,WR,117.19999999999999,80.19999999999999,25.0,0.0,0.0,0.0,0.0,37.0,498.0,4.0,16.0,64.0,0.0
244,Jalen Nailor,LVR,WR,85.1,61.1,27.0,0.0,0.0,0.0,0.0,24.0,351.0,4.0,0.0,20.0,0.0
245,Noah Brown,LVR,WR,37.4,25.4,30.0,0.0,0.0,0.0,0.0,12.0,254.0,0.0,0.0,0.0,0.0
246,Jack Bech,LVR,WR,46.0,22.0,23.0,0.0,0.0,0.0,0.0,24.0,220.0,0.0,0.0,0.0,0.0
247,Deven Thompkins,LVR,WR,20.9,8.9,26.0,0.0,0.0,0.0,0.0,12.0,73.0,0.0,0.0,16.0,0.0
248,Malik Willis,MIA,QB,313.34,313.34,27.0,175.0,2661.0,27.0,0.0,0.0,0.0,0.0,79.0,509.0,8.0
249,Quinn Ewers,MIA,QB,13.32,13.32,23.0,25.0,233.0,1.0,1.0,0.0,0.0,0.0,6.0,20.0,0.0
