Rank,Player,Team,Pos.,PPR,STD,PassYds,PassTD,Int,Rec,RecYds,RecTD,RushAtt,RushYds,RushTD
124,Coleman Owen,IND,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
125,Colson Yankoff,WSH,TE,0.1,0.1,0,0.0,0.0,0,1,0.0,0,0,0.0
126,Colston Loveland,CHI,TE,10.8,6.8,0,0.0,0.0,4,44,0.4,0,0,0.0
127,Connor Heyward,PIT,TE,1.6,1.6,0,0.0,0.0,0,1,0.1,1,3,0.1
128,Cooper Kupp,SEA,WR,7.3,4.3,0,0.0,0.1,3,37,0.1,0,0,0.0
129,Cooper Rush,BAL,QB,2.9,2.9,75,0.0,1.1,0,0,0.0,1,0,0.0
130,Corey Kiner,ARI,RB,1.8,1.8,0,0.0,0.0,0,4,0.0,3,14,0.0
131,Courtland Sutton,DEN,WR,12.4,8.4,0,0.0,0.0,4,60,0.4,0,0,0.0
132,Craig Reynolds,DET,RB,0.1,0.1,0,0.0,0.0,0,0,0.0,0,1,0.0
133,Curtis Samuel,BUF,WR,3.6,2.6,0,0.0,0.0,1,14,0.2,0,0,0.0
134,D'Andre Swift,CHI,RB,14.8,12.8,0,0.0,0.0,2,19,0.1,14,67,0.6
135,D'Ernest Johnson,NWE,RB,0.3,0.3,0,0.0,0.0,0,0,0.0,2,3,0.0
136,D'Wayne Eskridge,MIA,WR,0.5,0.5,0,0.0,0.0,0,5,0.0,0,0,0.0
137,D.J. Moore,CHI,WR,10.3,7.3,0,0.1,0.0,3,40,0.3,1,5,0.1
138,D.K. Metcalf,PIT,WR,12.7,8.7,0,0.0,0.0,4,56,0.4,0,1,0.1
139,DJ Giddens,IND,RB,1.1,1.1,0,0.0,0.0,0,0,0.0,3,11,0.0
140,DJ Turner,LVR,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
141,Dak Prescott,DAL,QB,19.5,19.5,267,1.8,0.6,0,0,0.0,3,10,0.1
142,Dalen Cambre,NYG,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
143,Dalevon Campbell,CAR,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
144,Dallas Goedert,PHI,TE,12.1,8.1,0,0.0,0.0,4,39,0.7,0,0,0.0
145,Dalton Kincaid,BUF,TE,10.1,7.1,0,0.0,0.0,3,47,0.4,0,0,0.0
146,Dalton Schultz,HOU,TE,10.7,5.7,0,0.0,0.0,5,45,0.2,0,0,0.0
147,Dameon Pierce,KAN,RB,0.2,0.2,0,0.0,0.0,0,0,0.0,1,2,0.0
148,Dan Chisena,CAR,WR,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0
149,Daniel Bellinger,NYG,TE,3.4,2.4,0,0.0,0.0,1,18,0.1,0,0,0.0
150,Daniel Jones,IND,QB,19.2,19.2,238,1.5,0.6,0,0,0.0,3,13,0.4
151,Dante Pettis,NOR,WR,2.6,1.6,0,0.0,0.0,1,16,0.0,0,0,0.0
152,Dare Ogunbowale,HOU,RB,2.2,1.2,0,0.0,0.0,1,5,0.0,1,1,0.1
153,Dareke Young,SEA,WR,0.5,0.5,0,0.0,0.0,0,5,0.0,0,0,0.0
154,Darius Cooper,PHI,WR,1.7,0.7,0,0.0,0.0,1,7,0.0,0,0,0.0
155,Darius Slayton,NYG,WR,7.5,4.5,0,0.0,0.0,3,39,0.1,0,0,0.0
156,Darnell Mooney,ATL,WR,5.6,3.6,0,0.0,0.0,2,30,0.1,0,0,0.0
157,Darnell Washington,PIT,TE,4.9,2.9,0,0.0,0.0,2,23,0.1,0,0,0.0
158,Darren Waller,MIA,TE,10.3,7.3,0,0.0,0.0,3,31,0.7,0,0,0.0
159,Davante Adams,LAR,WR,15.6,11.6,0,0.0,0.0,4,56,1.0,0,0,0.0
