Player,Team,Pos.,G,PassAtt,PassAttStDev,Cmp,IndComp%,CompStDev,TeamComp%,PassYds,PassYdsStDev,PassYds%,PassTD,PassTDStDev,PassTD%,Int,IntStDev,Int%,Tgt,TgtStDev,Rec,IndCatch%,CatStDev,TmCatch%,RecYds,RecYdsStDev,RecYds%,RecTD,RecTDStDev,RecTD%,RushAtt,RushStDev,Rush%,RushYds,RushYdsStDev,RushYds%,RushTD,RushTDStDev,RushTD%,Opp,Week
Bijan Robinson,ATL,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,14,4.242640687119285,11,0.7857142857142857,3.5355339059327378,0.36666666666666664,99,57.27564927611035,0.34375,1,0.7071067811865476,1.0,37,3.5355339059327378,0.5873015873015873,155,7.7781745930520225,0.5595667870036101,0,0.0,0.0,GNB,3
Blake Corum,LAR,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.7071067811865476,1,1.0,0.7071067811865476,0.02564102564102564,13,9.192388155425117,0.026262626262626262,0,0.0,0.0,22,1.4142135623730951,0.38596491228070173,133,17.67766952966369,0.4666666666666667,0,0.0,0.0,DEN,3
Blake Whiteheart,CLE,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,0.7071067811865476,2,0.6666666666666666,0.0,0.05,31,2.1213203435596424,0.06997742663656885,1,0.7071067811865476,0.3333333333333333,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,CAR,3
Bo Melton,GNB,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,1,0.5,0.7071067811865476,0.02702702702702703,10,7.0710678118654755,0.018796992481203006,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,ATL,3
Bo Nix,DEN,QB,2,59,2.1213203435596424,39,0.6610169491525424,3.5355339059327378,0.6610169491525424,419,111.01576464628796,1.0,2,0.0,1.0,2,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,1.4142135623730951,0.18604651162790697,8,2.8284271247461903,0.048484848484848485,0,0.0,0.0,LAR,3
Brady Russell,SEA,FB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,1.4142135623730951,2,1.0,1.4142135623730951,0.05555555555555555,20,14.142135623730951,0.04597701149425287,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,WSH,3
Braelon Allen,NYJ,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,0.0,1,0.5,0.7071067811865476,0.021739130434782608,8,5.656854249492381,0.017316017316017316,0,0.0,0.0,15,3.5355339059327378,0.22727272727272727,47,23.33452377915607,0.2146118721461187,1,0.7071067811865476,0.3333333333333333,DET,3
Brashard Smith,KAN,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,MIA,3
Braxton Berrios,NYG,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,TEN,3
Brayden Willis,SFO,TE,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,ARI,3
Breece Hall,NYJ,RB,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,7,2.1213203435596424,7,1.0,2.1213203435596424,0.15217391304347827,79,33.23401871576773,0.170995670995671,0,0.0,0.0,38,4.242640687119285,0.5757575757575758,131,51.61879502661797,0.5981735159817352,1,0.7071067811865476,0.3333333333333333,DET,3
Brenen Thompson,LAC,WR,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,2.1213203435596424,1,0.3333333333333333,0.7071067811865476,0.03125,13,9.192388155425117,0.032418952618453865,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,BUF,3
Brenton Strange,JAX,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.7071067811865476,4,0.8,0.0,0.11428571428571428,40,4.242640687119285,0.09216589861751152,1,0.7071067811865476,0.25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,NWE,3
Brevyn Spann-Ford,DAL,TE,2,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,1.4142135623730951,2,1.0,1.4142135623730951,0.041666666666666664,14,9.899494936611665,0.030837004405286344,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,BAL,3
