"Rk,Player,OffSnp,Att,Att,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999"
"184,Brock Wright,31,0,0,3,Sun,2,2,2025-09-14,26-291,DET,,CHI,W 52-21,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,3,28,9.3,1,100.0,9.3,2,100.0,31,52.5,0,0.0,16,50.0,TE,WrigBr01"
"185,James Conner,30,0,11,1,Sun,2,2,2025-09-14,30-132,ARI,,CAR,W 27-22,0,0,0,,0,0,0,0,,,,0,0,,,,,,,11,34,3.1,1,3,54.5,1,1,18,18.0,0,100.0,18.0,1,100.0,30,54.5,0,0.0,0,0.0,RB,ConnJa00"
"186,Breece Hall,30,0,10,3,Sun,2,2,2025-09-14,24-106,NYJ,,BUF,L 10-30,0,0,0,,0,0,0,0,,,,0,0,,,,,,,10,29,2.9,0,2,40.0,3,2,9,4.5,0,66.7,3.0,0,33.3,30,63.8,0,0.0,0,0.0,RB,HallBr03"
"187,Elijah Moore,30,0,2,1,Sun,2,2,2025-09-14,25-171,BUF,@,NYJ,W 30-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,6,3.0,1,1,50.0,1,1,31,31.0,0,100.0,31.0,1,100.0,30,40.0,0,0.0,1,3.6,WR,MoorEl00"
"188,Olamide Zaccheaus,30,0,1,5,Sun,2,2,2025-09-14,28-053,CHI,@,DET,L 21-52,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,9,9.0,0,0,100.0,5,2,12,6.0,0,40.0,2.4,1,20.0,30,44.1,0,0.0,0,0.0,WR,ZaccOl01"
"189,Tyler Conklin,29,0,0,0,Mon,2,2,2025-09-15,30-047,LAC,@,LVR,W 20-9,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,29,50.0,0,0.0,7,33.3,TE,ConkTy00"
"190,Justin Fields,29,11,5,0,Sun,2,2,2025-09-14,26-193,NYJ,,BUF,L 10-30,3,11,8,27.3,27,0,0,0,0.0,0.0,39.6,2,19,15.38,2.5,2.45,0.62,9.0,15.4,5,49,9.8,0,2,60.0,0,0,0,,0,,,0,,29,61.7,0,0.0,0,0.0,QB,FielJu00"
"191,Julian Hill,29,0,0,0,Sun,2,2,2025-09-14,25-067,MIA,,NWE,L 27-33,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,29,50.9,0,0.0,14,50.0,TE,HillJu02"
"192,Dalton Schultz,29,0,0,4,Mon,2,2,2025-09-15,29-066,HOU,,TAM,L 19-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,3,29,9.7,0,75.0,7.3,1,75.0,29,59.2,0,0.0,0,0.0,TE,SchuDa00"
"193,Isaiah Bond,28,0,1,3,Sun,2,2,2025-09-14,21-183,CLE,@,BAL,L 17-41,0,0,0,,0,0,0,0,,,,0,0,,,,,,,1,9,9.0,0,0,100.0,3,1,6,6.0,0,33.3,2.0,1,33.3,28,38.4,0,0.0,5,15.2,WR,BondIs00"
"194,Chimere Dike,28,0,2,5,Sun,2,2,2025-09-14,23-274,TEN,,LAR,L 19-33,0,0,0,,0,0,0,0,,,,0,0,,,,,,,2,9,4.5,0,0,100.0,5,2,-1,-0.5,0,40.0,-0.2,0,0.0,28,42.4,0,0.0,10,32.3,WR,DikeCh00"
"195,Xavier Hutchinson,28,0,0,3,Mon,2,2,2025-09-15,25-106,HOU,,TAM,L 19-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,2,29,14.5,0,66.7,9.7,1,66.7,28,57.1,0,0.0,2,8.0,WR,HutcXa00"
"196,Zay Jones,28,0,0,0,Sun,2,2,2025-09-14,30-168,ARI,,CAR,W 27-22,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,28,50.9,0,0.0,0,0.0,WR,JoneZa00"
"197,Jordan Mason,28,0,9,3,Sun,2,2,2025-09-14,26-113,MIN,,ATL,L 6-22,0,0,0,,0,0,0,0,,,,0,0,,,,,,,9,30,3.3,0,2,66.7,3,2,8,4.0,0,66.7,2.7,0,33.3,28,59.6,0,0.0,0,0.0,RB,MasoJo00"
"198,Kyle Monangai,28,0,7,3,Sun,2,2,2025-09-14,23-100,CHI,@,DET,L 21-52,0,0,0,,0,0,0,0,,,,0,0,,,,,,,7,28,4.0,0,2,28.6,3,1,8,8.0,0,33.3,2.7,0,33.3,28,41.2,0,0.0,0,0.0,RB,MonaKy00"
"199,Drew Sample,28,0,0,2,Sun,2,2,2025-09-14,29-151,CIN,,JAX,W 31-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,1,7,7.0,0,50.0,3.5,0,0.0,28,40.6,0,0.0,14,51.9,TE,SampDr00"
"200,Tyrone Tracy Jr.,28,0,5,5,Sun,2,2,2025-09-14,25-295,NYG,@,DAL,L 37-40 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,5,15,3.0,0,2,60.0,5,4,36,9.0,0,80.0,7.2,1,40.0,28,41.8,0,0.0,7,18.4,RB,TracTy00"
"201,Tylan Wallace,28,0,0,2,Sun,2,2,2025-09-14,26-124,BAL,,CLE,W 41-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,25,12.5,1,100.0,12.5,2,100.0,28,50.0,0,0.0,13,39.4,WR,WallTy00"
"202,Noah Brown,27,0,0,4,Thu,2,2,2025-09-11,29-248,WAS,@,GNB,L 18-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,1,9,9.0,0,25.0,2.3,0,25.0,27,39.1,0,0.0,0,0.0,WR,BrowNo00"
"203,Robbie Ouzts,27,0,0,0,Sun,2,2,2025-09-14,23-008,SEA,@,PIT,W 31-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,27,41.5,0,0.0,5,17.9,FB,OuztRo00"
"204,Elijah Arroyo,26,0,0,3,Sun,2,2,2025-09-14,22-162,SEA,@,PIT,W 31-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,3,2,31,15.5,0,66.7,10.3,1,66.7,26,40.0,0,0.0,0,0.0,TE,ArroEl00"
"205,Tutu Atwell,26,0,0,1,Sun,2,2,2025-09-14,25-342,LAR,@,TEN,W 33-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,0,0,,0,0.0,0.0,0,0.0,26,42.6,0,0.0,0,0.0,WR,AtweTu00"
"206,Nick Chubb,26,0,12,2,Mon,2,2,2025-09-15,29-262,HOU,,TAM,L 19-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,12,43,3.6,1,2,41.7,2,2,29,14.5,0,100.0,14.5,1,50.0,26,53.1,0,0.0,0,0.0,RB,ChubNi00"
"207,Tanner Conner,26,0,0,0,Sun,2,2,2025-09-14,27-178,MIA,,NWE,L 27-33,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,0,0,0,,0,,,0,,26,45.6,0,0.0,8,28.6,TE,ConnTa00"
"208,J.K. Dobbins,26,0,14,2,Sun,2,2,2025-09-14,26-271,DEN,@,IND,L 28-29,0,0,0,,0,0,0,0,,,,0,0,,,,,,,14,76,5.4,1,5,71.4,2,1,9,9.0,0,50.0,4.5,0,50.0,26,44.8,0,0.0,0,0.0,RB,DobbJK00"
"209,Kenneth Gainwell,26,0,5,5,Sun,2,2,2025-09-14,26-184,PIT,,SEA,L 17-31,0,0,0,,0,0,0,0,,,,0,0,,,,,,,5,20,4.0,0,1,40.0,5,3,16,5.3,0,60.0,3.2,1,40.0,26,41.9,0,0.0,11,39.3,RB,GainKe00"
"210,Tory Horton,26,0,0,4,Sun,2,2,2025-09-14,22-289,SEA,@,PIT,W 31-17,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,2,32,16.0,1,50.0,8.0,1,25.0,26,40.0,0,0.0,4,14.3,WR,HortTo00"
"211,Luke Schoonmaker,26,0,0,2,Sun,2,2,2025-09-14,26-351,DAL,,NYG,W 40-37 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,0,0,,0,0.0,0.0,0,0.0,26,29.2,0,0.0,21,55.3,TE,SchoLu00"
"212,Mo Alie-Cox,25,0,0,1,Sun,2,2,2025-09-14,31-360,IND,,DEN,W 29-28,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,8,8.0,0,100.0,8.0,0,100.0,25,35.2,0,0.0,12,42.9,TE,AlieMo00"
"213,Davis Allen,25,0,0,1,Sun,2,2,2025-09-14,24-223,LAR,@,TEN,W 33-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,1,1,8,8.0,1,100.0,8.0,1,100.0,25,41.0,0,0.0,14,45.2,TE,AlleDa02"
"214,Rico Dowdle,25,0,6,1,Sun,2,2,2025-09-14,27-092,CAR,@,ARI,L 22-27,0,0,0,,0,0,0,0,,,,0,0,,,,,,,6,9,1.5,0,0,16.7,1,1,10,10.0,0,100.0,10.0,1,100.0,25,29.4,0,0.0,4,18.2,RB,DowdRi01"
"215,Evan Engram,25,0,0,2,Sun,2,2,2025-09-14,31-012,DEN,@,IND,L 28-29,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,1,12,12.0,0,50.0,6.0,1,50.0,25,43.1,0,0.0,0,0.0,TE,EngrEv00"
"216,Tyrell Shavers,25,0,0,2,Sun,2,2,2025-09-14,26-027,BUF,@,NYJ,W 30-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,0,0,,0,0.0,0.0,0,0.0,25,33.3,0,0.0,15,53.6,WR,ShavTy00"
"217,Rachaad White,25,0,10,2,Mon,2,2,2025-09-15,26-246,TAM,@,HOU,W 20-19,0,0,0,,0,0,0,0,,,,0,0,,,,,,,10,65,6.5,1,4,70.0,2,2,1,0.5,0,100.0,0.5,0,0.0,25,31.3,0,0.0,0,0.0,RB,WhitRa01"
"218,Trey Benson,24,0,3,6,Sun,2,2,2025-09-14,23-055,ARI,,CAR,W 27-22,0,0,0,,0,0,0,0,,,,0,0,,,,,,,3,14,4.7,0,0,0.0,6,4,30,7.5,0,66.7,5.0,1,50.0,24,43.6,0,0.0,0,0.0,RB,BensTr01"
"219,Kareem Hunt,24,0,8,1,Sun,2,2,2025-09-14,30-039,KAN,,PHI,L 17-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,8,31,3.9,0,3,62.5,1,1,3,3.0,0,100.0,3.0,0,0.0,24,40.0,0,0.0,0,0.0,RB,HuntKa00"
"220,Michael Mayer,24,0,0,2,Mon,2,2,2025-09-15,24-071,LVR,,LAC,L 9-20,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,2,2,9,4.5,0,100.0,4.5,1,50.0,24,34.3,0,0.0,5,23.8,TE,MayeMi00"
